Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2024-12-03,96.63%,-5.88%,13.47%,56%,0.19273852250311,137252,0.39795113324779,939124,27.44,115073,22179,671786,267338
2024-12-02,102.51%,-8.33%,15.38%,59%,0.22485435966001,256509,0.40471519048015,879200,27.27,209420,47089,625892,253308
2024-11-29,110.84%,-11.19%,18.08%,64%,0.23430085449697,289762,0.38373043665831,1039212,29.05,234758,55004,751022,288190
2024-11-27,122.03%,-5.28%,21.70%,70%,0.21942868368984,260698,0.37394518995752,1011269,30.89,213787,46911,736033,275236
2024-11-26,127.31%,-3.38%,23.41%,72%,0.20231626692163,412457,0.36913146301076,950028,30.33,343052,69405,693891,256137
2024-11-25,130.69%,+8.92%,24.51%,77%,0.14078008629651,240327,0.38633124000878,896704,29.67,210669,29658,646818,249886
2024-11-22,121.78%,+1.22%,21.62%,71%,0.1624631570235,252809,0.37144508437443,1020362,27.9,217477,35332,744005,276357
2024-11-21,120.56%,-7.62%,21.22%,71%,0.15743429668856,223592,0.37524854131363,992532,27.82,193179,30413,721711,270821
2024-11-20,128.17%,+6.71%,23.69%,73%,0.15061426047856,401233,0.38011135697853,943647,28.45,348712,52521,683747,259900
2024-11-19,121.46%,+1.56%,21.52%,71%,0.22173574041864,183330,0.38859328743177,907143,27.57,150057,33273,653282,253861
2024-11-18,119.90%,-32.79%,21.01%,71%,0.22109783661608,189087,0.3922065096852,859959,26.44,154850,34237,617695,242264
2024-11-15,152.69%,+7.19%,31.63%,87%,0.19751264617539,365991,0.36815752344377,1053090,26.59,305626,60365,769714,283376
2024-11-14,145.50%,+0.63%,29.30%,86%,0.1406647955613,316190,0.37349134787238,1007482,27.37,277198,38992,733519,273963
2024-11-13,144.87%,+3.15%,29.10%,85%,0.10736592756562,328169,0.37384147427438,979663,26.46,296351,31818,713083,266580
2024-11-12,141.73%,+5.65%,28.08%,85%,0.13809663465063,341495,0.37523670922882,931749,26.84,300058,41437,677519,254230
2024-11-11,136.08%,+29.14%,26.25%,82%,0.18376929990157,497891,0.37003043615351,838597,27.26,420598,77293,612101,226496
2024-11-08,106.94%,+20.64%,16.81%,66%,0.1181074793806,475833,0.35300712519994,930463,24.88,425570,50263,687700,242763
2024-11-07,86.30%,+6.28%,10.13%,52%,0.17273681726066,144093,0.3587843905932,903256,23.45,122869,21224,664753,238503
2024-11-06,80.02%,+3.50%,8.09%,41%,0.1678278548096,153372,0.36542032080204,872195,23.1,131331,22041,638774,233421
2024-11-05,76.52%,+7.62%,6.96%,36%,0.10682366594253,156413,0.39239657694906,820375,22.99,141317,15096,589182,231193
2024-11-04,68.89%,-4.41%,4.49%,17%,0.20135338345865,95868,0.39702190547664,787430,22.33,79800,16068,563649,223781
2024-11-01,73.31%,+1.46%,5.92%,29%,0.21240409372614,187411,0.36386269984674,914830,22.41,154578,32833,670764,244066
2024-10-31,71.85%,-11.27%,5.45%,24%,0.16256558775837,164181,0.36350420671985,900420,22.18,141223,22958,660372,240048
2024-10-30,83.11%,+6.01%,9.10%,49%,0.12899056860244,269936,0.36403151317577,878675,23.28,239095,30841,644175,234500
2024-10-29,77.11%,-8.05%,7.15%,37%,0.17736667408986,222049,0.36412577784767,850115,22.68,188598,33451,623194,226921
2024-10-28,85.16%,+26.57%,9.76%,50%,0.15037309726801,359051,0.41343347036695,744707,22.73,312117,46934,526878,217829
2024-10-25,58.59%,+1.28%,1.15%,4%,0.16085103131328,212683,0.39681926038182,812953,20.57,183213,29470,582003,230950
2024-10-24,57.31%,-0.15%,0.74%,2%,0.15055481693598,90001,0.41103989987268,784668,20.63,78224,11777,556092,228576
2024-10-23,57.46%,-0.92%,0.79%,2%,0.20893449092344,76586,0.41777269571609,763774,20.54,63350,13236,538714,225060
2024-10-22,58.38%,+1.55%,1.09%,2%,0.18866933841967,110929,0.42858575963933,726273,20.93,93322,17607,508386,217887
2024-10-21,56.83%,-3.69%,0.59%,1%,0.17022853166822,129501,0.45595563273962,667346,20.7,110663,18838,458356,208990
"Downloaded from Barchart.com as of 01-25-2025 09:13am CST"
